191.96.100.33:3128 | TIMEOUT: 1.38857
208.184.163.30:3129 | TIMEOUT: 0.648847
202.56.163.109:8080 | TIMEOUT: 0.435991
179.49.112.132:999 | TIMEOUT: 0.298346
103.66.196.218:23500 | TIMEOUT: 0.364263
103.48.68.34:83 | TIMEOUT: 0.307794
91.150.189.122:30389 | TIMEOUT: 0.366568
167.86.115.218:8888 | TIMEOUT: 1.64018
92.255.177.110:81 | TIMEOUT: 0.179642
51.68.140.229:8080 | TIMEOUT: 0.597671
20.219.180.105:3129 | TIMEOUT: 3.404798
171.103.58.122:8080 | TIMEOUT: 1.337947
38.51.235.212:999 | TIMEOUT: 3.73544
103.162.63.198:8181 | TIMEOUT: 0.258746
200.71.109.105:999 | TIMEOUT: 1.359027
195.224.73.134:8080 | TIMEOUT: 0.612696
41.128.148.76:1976 | TIMEOUT: 0.18566
91.204.239.189:8080 | TIMEOUT: 0.361902
182.253.40.202:8080 | TIMEOUT: 0.281337
24.152.50.117:999 | TIMEOUT: 0.273141
41.33.254.188:1976 | TIMEOUT: 0.174335
45.189.116.36:999 | TIMEOUT: 0.266508
20.204.214.79:3129 | TIMEOUT: 1.31326
103.165.155.19:8080 | TIMEOUT: 4.472391
81.91.139.76:80 | TIMEOUT: 0.364236
45.11.95.165:6011 | TIMEOUT: 4.279596
163.172.31.44:80 | TIMEOUT: 0.291291
20.204.214.23:3129 | TIMEOUT: 2.903581
103.48.69.105:83 | TIMEOUT: 0.290111
45.77.70.244:1234 | TIMEOUT: 0.204306
45.189.116.38:999 | TIMEOUT: 0.274227
124.105.79.237:8080 | TIMEOUT: 0.386245
156.200.116.73:1981 | TIMEOUT: 0.913826
94.19.33.195:81 | TIMEOUT: 1.08054
154.236.191.44:1976 | TIMEOUT: 0.162421
216.80.39.89:3129 | TIMEOUT: 0.918326
15.204.161.192:18080 | TIMEOUT: 1.081622
202.40.177.69:80 | TIMEOUT: 0.402614
8.211.184.13:443 | TIMEOUT: 1.504463
128.140.97.95:60000 | TIMEOUT: 0.351913
45.174.87.18:999 | TIMEOUT: 0.195425
154.70.107.81:3128 | TIMEOUT: 3.84351
8.219.97.248:80 | TIMEOUT: 1.51959
20.219.182.59:3129 | TIMEOUT: 1.257885
87.225.99.146:8080 | TIMEOUT: 3.902275
64.189.106.6:3129 | TIMEOUT: 1.000625
